compra_id;data_compra;produto_id;fornecedor;quantidade_comprada;valor_unitario;valor_total;prazo_entrega_dias;status_compra
1;03/01/2024;1;Yamaha Parts;16;55.05;880.8;5;Entregue
2;22/02/2024;1;Pirelli Brasil;47;48.71;2289.37;7;Entregue
3;18/03/2024;1;Yamaha Parts;84;57.16;4801.44;3;Entregue
4;07/03/2024;1;Honda Peças;63;48.29;3042.27;3;Entregue
5;07/04/2024;1;Yamaha Parts;74;53.63;3968.62;18;Entregue
6;13/04/2024;1;Bosch Distribuição;49;49.43;2422.07;17;Cancelada
7;27/07/2024;1;Cofap Distrib;67;47.92;3210.64;13;Entregue
8;09/07/2024;1;NGK Brasil;32;49.04;1569.28;14;Cancelada
9;17/07/2024;1;NGK Brasil;74;54.39;4024.86;4;Entregue
10;15/08/2024;1;Cofap Distrib;27;52.8;1425.6;9;Entregue
11;13/10/2024;1;NGK Brasil;9;57.58;518.22;5;Entregue
12;22/10/2024;1;NGK Brasil;12;50.95;611.4;11;Pendente
13;27/01/2024;2;Yamaha Parts;8;771.12;6168.96;20;Pendente
14;06/12/2024;2;Yamaha Parts;10;853.15;8531.5;4;Entregue
15;05/12/2024;2;Honda Peças;62;837.94;51952.28;7;Pendente
16;22/01/2024;3;Pirelli Brasil;25;1224.49;30612.25;3;Cancelada
17;25/07/2024;3;Bosch Distribuição;64;1216.1;77830.4;8;Entregue
18;16/07/2024;3;Yamaha Parts;34;1270.21;43187.14;5;Entregue
19;09/10/2024;3;Honda Peças;66;1344.27;88721.82;8;Entregue
20;25/02/2024;4;Cofap Distrib;98;1012.75;99249.5;12;Pendente
21;19/02/2024;4;Honda Peças;47;1137.4;53457.8;17;Entregue
22;16/04/2024;4;Honda Peças;97;1160.81;112598.57;3;Entregue
23;05/04/2024;4;Cofap Distrib;51;1129.49;57603.99;16;Entregue
24;16/05/2024;4;NGK Brasil;45;1194.76;53764.2;6;Entregue
25;26/05/2024;4;Pirelli Brasil;65;1078.36;70093.4;4;Entregue
26;23/05/2024;4;Bosch Distribuição;53;1185.57;62835.21;5;Entregue
27;12/08/2024;4;NGK Brasil;50;1196.25;59812.5;15;Entregue
28;07/09/2024;4;Cofap Distrib;71;1051.87;74682.77;10;Entregue
29;04/09/2024;4;Pirelli Brasil;44;1203.0;52932.0;11;Entregue
30;14/09/2024;4;NGK Brasil;67;1034.31;69298.77;12;Entregue
31;17/11/2024;4;Magneti Marelli;86;1048.64;90183.04;7;Entregue
32;22/07/2024;5;Yamaha Parts;23;551.44;12683.12;7;Entregue
33;09/08/2024;5;Pirelli Brasil;50;536.61;26830.5;5;Entregue
34;12/08/2024;5;NGK Brasil;62;540.25;33495.5;8;Entregue
35;08/09/2024;5;Bosch Distribuição;34;590.86;20089.24;18;Entregue
36;08/09/2024;5;Bosch Distribuição;33;574.27;18950.91;10;Entregue
37;10/10/2024;5;Cofap Distrib;74;542.3;40130.2;12;Entregue
38;19/10/2024;5;Pirelli Brasil;48;527.09;25300.32;5;Entregue
39;05/06/2024;6;NGK Brasil;8;137.37;1098.96;16;Entregue
40;01/06/2024;6;Magneti Marelli;90;143.18;12886.2;18;Entregue
41;02/06/2024;6;Cofap Distrib;67;133.87;8969.29;3;Entregue
42;12/07/2024;6;Magneti Marelli;27;120.85;3262.95;3;Entregue
43;06/08/2024;6;Bosch Distribuição;7;123.17;862.19;17;Cancelada
44;12/08/2024;6;Magneti Marelli;40;121.76;4870.4;15;Cancelada
45;11/08/2024;6;Honda Peças;38;121.25;4607.5;8;Entregue
46;12/09/2024;6;Magneti Marelli;71;144.34;10248.14;13;Entregue
47;05/07/2024;7;Pirelli Brasil;63;1765.45;111223.35;6;Entregue
48;14/08/2024;7;Magneti Marelli;93;1487.15;138304.95;7;Entregue
49;15/08/2024;7;Bosch Distribuição;96;1519.29;145851.84;3;Entregue
50;16/09/2024;7;Magneti Marelli;100;1519.31;151931.0;17;Entregue
51;19/09/2024;7;Bosch Distribuição;20;1607.92;32158.4;20;Entregue
52;27/11/2024;7;Bosch Distribuição;49;1799.33;88167.17;11;Entregue
53;12/11/2024;7;NGK Brasil;40;1682.69;67307.6;14;Entregue
54;17/06/2024;8;Pirelli Brasil;15;292.26;4383.9;11;Entregue
55;22/06/2024;8;Magneti Marelli;43;277.15;11917.45;3;Pendente
56;15/09/2024;8;Cofap Distrib;78;294.01;22932.78;17;Entregue
57;25/09/2024;8;Yamaha Parts;94;256.61;24121.34;9;Entregue
58;17/03/2024;9;Honda Peças;16;810.25;12964.0;11;Entregue
59;08/05/2024;9;Pirelli Brasil;26;821.64;21362.64;14;Entregue
60;07/05/2024;9;Pirelli Brasil;11;852.45;9376.95;14;Entregue
61;22/05/2024;9;Bosch Distribuição;74;828.47;61306.78;18;Entregue
62;14/11/2024;9;Honda Peças;65;785.71;51071.15;3;Entregue
63;10/11/2024;9;Bosch Distribuição;61;816.9;49830.9;4;Entregue
64;13/12/2024;9;Bosch Distribuição;84;744.97;62577.48;8;Entregue
65;10/12/2024;9;Yamaha Parts;43;731.98;31475.14;11;Entregue
66;13/03/2024;10;Pirelli Brasil;23;1511.58;34766.34;4;Entregue
67;07/03/2024;10;Magneti Marelli;26;1599.71;41592.46;9;Entregue
68;28/03/2024;10;NGK Brasil;66;1726.4;113942.4;8;Entregue
69;26/04/2024;10;NGK Brasil;45;1793.9;80725.5;4;Cancelada
70;15/04/2024;10;Cofap Distrib;87;1799.02;156514.74;11;Entregue
71;02/05/2024;10;Bosch Distribuição;83;1747.7;145059.1;10;Entregue
