pedido_id,data_pedido,data_entrega,transportadora,cidade_origem,cidade_destino,prazo_estimado_dias,prazo_real_dias,custo_transporte,status_entrega
23057,11/01/2024,16/01/2024,Jadlog,Belo Horizonte,Pereira do Sul,3,5,178.31,Entregue
62044,18/12/2024,27/12/2024,Jadlog,Belo Horizonte,da Paz do Sul,8,9,163.08,Entregue
24333,28/05/2024,04/06/2024,Loggi,Recife,Fernandes de Campos,5,7,165.44,Entregue
39218,12/05/2024,14/05/2024,Loggi,Salvador,Cardoso,2,2,165.89,Entregue
32165,25/10/2024,29/10/2024,Azul Cargo,Belo Horizonte,Caldeira das Pedras,5,4,226.43,Entregue
47550,28/10/2024,04/11/2024,Azul Cargo,Curitiba,Lima das Flores,4,7,44.87,Entregue
27018,14/06/2024,25/06/2024,Loggi,Salvador,Lopes,10,11,246.04,Entregue
44774,16/01/2024,23/01/2024,Loggi,Curitiba,Nascimento,7,7,290.22,Entregue
5368,04/10/2024,13/10/2024,Correios,Recife,da Mata do Oeste,9,9,156.65,Devolvido
61360,14/10/2024,20/10/2024,Jadlog,São Paulo,Martins dos Dourados,7,6,234.85,Em trânsito
57736,16/12/2024,18/12/2024,Jadlog,Recife,Aragão de Fernandes,2,2,249.34,Entregue
33081,07/08/2024,11/08/2024,Correios,Belo Horizonte,Oliveira Grande,3,4,245.88,Entregue
34411,04/10/2024,11/10/2024,Loggi,São Paulo,Monteiro da Praia,8,7,110.87,Entregue
54042,20/12/2024,28/12/2024,Azul Cargo,Recife,das Neves do Oeste,9,8,127.02,Entregue
49993,26/10/2024,04/11/2024,Correios,Salvador,Aragão,6,9,24.76,Entregue
67944,21/04/2024,26/04/2024,Correios,Salvador,Viana,4,5,210.71,Entregue
50055,11/02/2024,17/02/2024,Correios,Belo Horizonte,Pires da Prata,4,6,217.78,Entregue
21582,17/12/2024,19/12/2024,Jadlog,Curitiba,Fernandes de Santos,2,2,232.49,Entregue
5489,18/02/2024,29/02/2024,Azul Cargo,Salvador,da Mota,10,11,64.51,Em trânsito
23187,19/04/2024,23/04/2024,Loggi,São Paulo,da Conceição Grande,5,4,181.32,Entregue
8427,04/05/2024,13/05/2024,Jadlog,Salvador,Oliveira das Pedras,10,9,272.83,Em trânsito
6294,17/06/2024,19/06/2024,Azul Cargo,São Paulo,Freitas de Lima,2,2,89.76,Entregue
65668,28/06/2024,05/07/2024,Correios,Curitiba,Teixeira,5,7,67.39,Entregue
25860,06/09/2024,14/09/2024,Azul Cargo,Belo Horizonte,Fogaça da Praia,9,8,47.3,Entregue
14189,04/08/2024,16/08/2024,Azul Cargo,Curitiba,Almeida da Praia,10,12,280.86,Entregue
7719,21/12/2024,31/12/2024,Loggi,São Paulo,Correia,9,10,124.87,Entregue
57802,08/05/2024,11/05/2024,Jadlog,São Paulo,Peixoto de Lima,4,3,133.76,Entregue
23012,09/10/2024,20/10/2024,Loggi,Curitiba,da Mota do Sul,9,11,51.66,Entregue
23115,19/02/2024,26/02/2024,Azul Cargo,São Paulo,Gonçalves,7,7,250.57,Entregue
55194,18/01/2024,26/01/2024,Correios,Curitiba,da Costa Verde,7,8,263.66,Entregue
7279,27/06/2024,08/07/2024,Loggi,São Paulo,Nunes,10,11,267.64,Entregue
40299,23/07/2024,29/07/2024,Correios,Curitiba,Silva de Moura,7,6,238.08,Entregue
41899,16/08/2024,24/08/2024,Azul Cargo,São Paulo,Silveira de Novaes,6,8,238.97,Entregue
66242,14/08/2024,24/08/2024,Loggi,São Paulo,da Rosa do Amparo,9,10,133.51,Entregue
53431,20/08/2024,26/08/2024,Azul Cargo,Belo Horizonte,Fogaça do Sul,7,6,109.97,Entregue
57612,08/04/2024,13/04/2024,Jadlog,São Paulo,Fernandes,2,5,48.36,Entregue
63130,10/12/2024,17/12/2024,Correios,Recife,Pinto,7,7,10.29,Em trânsito
35289,03/08/2024,11/08/2024,Correios,Recife,Pereira,8,8,187.2,Entregue
5983,21/08/2024,27/08/2024,Azul Cargo,Recife,da Rocha da Serra,7,6,77.4,Entregue
4347,26/11/2024,07/12/2024,Azul Cargo,São Paulo,Mendes,10,11,256.95,Entregue
3947,10/08/2024,16/08/2024,Jadlog,Recife,Cardoso,3,6,281.58,Entregue
17210,26/07/2024,31/07/2024,Jadlog,Recife,Araújo de Goiás,5,5,187.8,Entregue
26589,11/08/2024,19/08/2024,Loggi,São Paulo,Silveira Grande,5,8,295.01,Entregue
31589,07/05/2024,12/05/2024,Correios,São Paulo,Silva de Gonçalves,4,5,231.88,Entregue
38199,10/05/2024,21/05/2024,Azul Cargo,São Paulo,Vieira do Campo,8,11,180.75,Entregue
5659,02/11/2024,10/11/2024,Correios,Belo Horizonte,Dias,8,8,266.05,Entregue
22275,16/08/2024,23/08/2024,Loggi,São Paulo,Caldeira dos Dourados,5,7,246.04,Entregue
16865,11/07/2024,15/07/2024,Loggi,São Paulo,Teixeira,5,4,112.83,Em trânsito
24250,20/11/2024,23/11/2024,Loggi,Belo Horizonte,Alves,2,3,134.11,Entregue
10951,20/04/2024,03/05/2024,Loggi,Recife,Aragão,10,13,77.47,Entregue
54886,20/09/2024,27/09/2024,Loggi,Recife,da Paz Grande,6,7,39.73,Entregue
39010,27/03/2024,08/04/2024,Loggi,Salvador,Moraes,10,12,290.17,Em trânsito
1034,24/12/2024,02/01/2025,Jadlog,Recife,Fernandes dos Dourados,7,9,30.78,Entregue
46589,16/05/2024,22/05/2024,Azul Cargo,Recife,Almeida do Amparo,3,6,137.65,Entregue
22865,04/01/2024,12/01/2024,Jadlog,Salvador,Fernandes de Mendes,7,8,243.57,Entregue
60356,24/02/2024,28/02/2024,Loggi,São Paulo,Correia de da Luz,2,4,19.57,Entregue
24743,17/06/2024,28/06/2024,Loggi,Recife,Dias do Campo,10,11,264.74,Entregue
44680,01/08/2024,04/08/2024,Jadlog,Recife,da Luz,4,3,189.96,Entregue
18237,21/01/2024,30/01/2024,Jadlog,São Paulo,Santos de Costela,6,9,187.6,Entregue
61496,17/06/2024,30/06/2024,Jadlog,Recife,da Rosa,10,13,224.85,Devolvido
17272,23/11/2024,24/11/2024,Jadlog,Recife,Aragão,2,1,274.78,Em trânsito
40269,13/05/2024,19/05/2024,Jadlog,Salvador,Castro do Norte,3,6,293.77,Entregue
20789,09/03/2024,22/03/2024,Correios,Salvador,das Neves do Oeste,10,13,121.44,Entregue
20748,28/01/2024,02/02/2024,Correios,Curitiba,Rezende do Amparo,3,5,179.39,Entregue
3311,06/02/2024,16/02/2024,Loggi,Salvador,Mendes das Pedras,9,10,239.72,Entregue
