produto_id;sku;produto_nome;categoria;marca;preco_unitario;custo_unitario;estoque_inicial;unidade_medida;peso_kg;dimensao_cm
1;SKU00001;Acessórios Yamaha Nostrum;Acessórios;Yamaha;86.9;46.28;62;unidade;4.27;18x91x48
2;SKU00002;Pneus Yamaha Unde;Pneus;Yamaha;1486.47;683.08;28;unidade;6.64;69x82x2
3;SKU00003;Pneus Kawasaki Voluptate;Pneus;Kawasaki;1797.15;1186.83;112;unidade;6.69;80x40x1
4;SKU00004;Transmissão Suzuki Eveniet;Transmissão;Suzuki;1752.9;967.73;44;unidade;6.54;48x18x6
5;SKU00005;Elétrica Yamaha Ad;Elétrica;Yamaha;913.47;505.32;72;unidade;24.23;98x63x35
6;SKU00006;Motor NGK Adipisci;Motor;NGK;220.03;118.37;97;unidade;17.36;95x13x3
7;SKU00007;Acessórios Kawasaki Exercitationem;Acessórios;Kawasaki;1938.34;1445.16;64;unidade;26.01;53x40x30
8;SKU00008;Acessórios Bosch Illo;Acessórios;Bosch;427.57;237.98;73;unidade;21.08;92x87x5
9;SKU00009;Pneus Suzuki Animi;Pneus;Suzuki;1347.0;705.08;123;unidade;11.45;86x93x36
10;SKU00010;Freios Bosch Iusto;Freios;Bosch;2111.06;1441.43;63;unidade;24.67;45x56x18
11;SKU00011;Motor Kawasaki Nobis;Motor;Kawasaki;2285.01;1417.06;85;unidade;6.46;68x55x42
12;SKU00012;Elétrica Suzuki Eius;Elétrica;Suzuki;680.58;356.62;148;unidade;16.22;100x79x28
13;SKU00013;Pneus NGK Reprehenderit;Pneus;NGK;920.94;689.97;40;unidade;15.33;16x11x8
14;SKU00014;Freios Suzuki Hic;Freios;Suzuki;1985.4;1144.88;21;unidade;11.6;81x64x34
15;SKU00015;Suspensão Magneti Marelli Molestias;Suspensão;Magneti Marelli;2155.43;977.37;34;unidade;20.48;73x39x50
16;SKU00016;Acessórios Bosch Tenetur;Acessórios;Bosch;301.09;174.76;121;unidade;0.2;97x97x17
17;SKU00017;Pneus Suzuki Sequi;Pneus;Suzuki;1281.51;617.59;81;unidade;25.27;69x82x13
18;SKU00018;Freios Bosch Eum;Freios;Bosch;1912.21;1169.92;140;unidade;27.56;81x46x32
19;SKU00019;Motor Yamaha Vero;Motor;Yamaha;2324.52;1658.82;83;unidade;7.26;35x77x6
20;SKU00020;Motor Pirelli Porro;Motor;Pirelli;2044.66;1519.99;141;unidade;23.0;21x89x31
21;SKU00021;Pneus Suzuki Autem;Pneus;Suzuki;681.02;484.7;113;unidade;28.93;74x98x45
22;SKU00022;Freios Shineray Saepe;Freios;Shineray;1012.51;659.66;100;unidade;13.2;71x62x8
23;SKU00023;Freios Kawasaki Ut;Freios;Kawasaki;183.46;83.71;146;unidade;6.98;33x5x5
24;SKU00024;Acessórios Honda Harum;Acessórios;Honda;591.63;426.94;89;unidade;2.22;35x40x43
25;SKU00025;Elétrica Kawasaki Culpa;Elétrica;Kawasaki;1359.6;906.86;126;unidade;7.37;65x57x13
26;SKU00026;Motor Yamaha Voluptate;Motor;Yamaha;1655.98;921.2;110;unidade;14.06;98x11x44
27;SKU00027;Acessórios Yamaha Sint;Acessórios;Yamaha;175.02;116.99;32;unidade;7.53;29x73x29
28;SKU00028;Freios NGK Commodi;Freios;NGK;479.13;282.11;24;unidade;13.35;75x17x4
