venda_id;data_venda;produto_id;loja_id;cliente_id;quantidade_vendida;valor_unitario;valor_total;forma_pagamento;canal_venda
1;18/01/2024;1;1;408;3;80.36;241.08;Cartão;Loja Física
2;09/01/2024;1;3;99;1;87.98;87.98;Cartão;Loja Física
3;18/01/2024;1;2;353;1;78.64;78.64;Cartão;E-commerce
4;20/01/2024;1;3;666;1;92.31;92.31;Cartão;E-commerce
5;12/01/2024;1;3;500;1;95.04;95.04;Cartão;Loja Física
6;20/01/2024;1;3;149;1;97.07;97.07;Boleto;Telefone
7;14/01/2024;1;3;415;2;96.65;193.3;Cartão;Loja Física
8;08/01/2024;1;3;299;1;93.64;93.64;Boleto;Loja Física
9;15/01/2024;1;2;766;2;90.96;181.92;Dinheiro;Loja Física
10;06/01/2024;1;1;746;3;83.31;249.93;Cartão;E-commerce
11;24/01/2024;1;1;407;1;80.45;80.45;Cartão;E-commerce
12;18/01/2024;1;2;537;1;94.83;94.83;Cartão;Loja Física
13;05/01/2024;1;2;317;1;83.19;83.19;Pix;Loja Física
14;05/01/2024;1;1;30;1;78.97;78.97;Cartão;Telefone
15;28/01/2024;1;3;279;1;90.13;90.13;Cartão;Telefone
16;18/01/2024;1;3;468;1;91.92;91.92;Boleto;E-commerce
17;17/01/2024;1;3;318;2;97.96;195.92;Cartão;Loja Física
18;03/01/2024;1;2;423;1;83.85;83.85;Cartão;Loja Física
19;27/01/2024;1;1;353;2;84.44;168.88;Cartão;E-commerce
20;16/01/2024;1;2;307;4;78.41;313.64;Cartão;Loja Física
21;08/01/2024;1;3;383;2;82.31;164.62;Pix;Loja Física
22;08/01/2024;1;3;662;1;86.68;86.68;Cartão;Loja Física
23;14/01/2024;1;3;783;2;95.59;191.18;Boleto;E-commerce
24;09/01/2024;1;3;545;1;95.78;95.78;Cartão;E-commerce
25;06/01/2024;1;1;653;1;88.1;88.1;Cartão;E-commerce
26;16/01/2024;1;1;156;1;79.29;79.29;Cartão;Loja Física
27;04/01/2024;1;1;733;1;87.73;87.73;Cartão;Loja Física
28;01/01/2024;1;2;431;1;84.98;84.98;Pix;Telefone
29;15/01/2024;1;1;339;2;79.95;159.9;Pix;Loja Física
30;09/01/2024;1;1;557;2;88.42;176.84;Cartão;E-commerce
31;27/01/2024;1;1;125;1;99.38;99.38;Pix;Loja Física
32;15/01/2024;1;1;204;1;88.22;88.22;Pix;E-commerce
33;07/01/2024;1;3;320;1;98.55;98.55;Cartão;E-commerce
34;24/01/2024;1;3;126;4;83.71;334.84;Boleto;Loja Física
35;02/01/2024;1;1;116;3;83.34;250.02;Cartão;Loja Física
36;26/01/2024;1;1;406;1;95.35;95.35;Cartão;Loja Física
37;26/01/2024;1;3;611;2;81.58;163.16;Pix;Loja Física
38;16/01/2024;1;3;347;1;98.43;98.43;Dinheiro;E-commerce
39;02/01/2024;1;1;719;1;89.86;89.86;Cartão;Loja Física
40;11/01/2024;1;3;775;5;85.76;428.8;Pix;E-commerce
41;01/01/2024;1;2;742;2;81.14;162.28;Pix;Loja Física
42;15/01/2024;1;3;714;1;88.86;88.86;Cartão;E-commerce
43;11/01/2024;1;2;614;2;98.08;196.16;Cartão;Loja Física
44;15/02/2024;1;2;555;1;86.19;86.19;Cartão;E-commerce
45;13/02/2024;1;1;635;2;96.82;193.64;Pix;Loja Física
46;24/02/2024;1;3;397;1;82.33;82.33;Pix;E-commerce
47;05/02/2024;1;2;420;2;92.13;184.26;Cartão;E-commerce
48;03/02/2024;1;1;183;1;97.19;97.19;Cartão;Loja Física
49;04/02/2024;1;3;398;1;92.5;92.5;Cartão;E-commerce
50;09/02/2024;1;1;621;1;93.81;93.81;Cartão;Telefone
51;21/02/2024;1;1;480;1;95.61;95.61;Cartão;E-commerce
52;14/02/2024;1;3;60;3;96.1;288.3;Cartão;Loja Física
53;03/02/2024;1;1;222;3;99.08;297.24;Cartão;E-commerce
54;18/02/2024;1;1;539;1;92.48;92.48;Cartão;Telefone
55;18/02/2024;1;2;765;2;80.5;161.0;Boleto;Loja Física
56;15/02/2024;1;2;107;2;81.83;163.66;Cartão;Loja Física
57;11/02/2024;1;3;615;2;87.83;175.66;Cartão;Loja Física
58;11/02/2024;1;2;783;3;91.97;275.91;Pix;Loja Física
59;08/02/2024;1;1;385;1;94.85;94.85;Dinheiro;Loja Física
60;15/02/2024;1;2;1;1;93.99;93.99;Dinheiro;E-commerce
61;17/02/2024;1;2;7;1;84.73;84.73;Cartão;E-commerce
62;01/02/2024;1;3;283;2;98.18;196.36;Cartão;E-commerce
63;19/02/2024;1;1;472;1;85.94;85.94;Cartão;Loja Física
64;19/02/2024;1;2;308;1;80.21;80.21;Cartão;Telefone
65;24/02/2024;1;2;495;1;81.97;81.97;Pix;E-commerce
66;19/02/2024;1;1;610;3;92.16;276.48;Cartão;E-commerce
67;13/02/2024;1;1;790;1;85.47;85.47;Pix;Loja Física
68;28/02/2024;1;1;766;1;92.39;92.39;Boleto;Loja Física
69;25/02/2024;1;1;313;2;89.6;179.2;Cartão;E-commerce
70;11/02/2024;1;1;157;1;79.31;79.31;Pix;Loja Física
71;15/02/2024;1;3;517;2;80.17;160.34;Cartão;E-commerce
72;05/02/2024;1;1;488;1;90.62;90.62;Cartão;Loja Física
73;03/02/2024;1;2;793;1;93.37;93.37;Pix;Loja Física
74;07/02/2024;1;3;586;1;82.47;82.47;Boleto;E-commerce
75;08/02/2024;1;2;796;1;87.55;87.55;Pix;E-commerce
76;04/02/2024;1;2;375;2;85.78;171.56;Cartão;E-commerce
77;01/02/2024;1;1;359;2;91.6;183.2;Dinheiro;Loja Física
78;05/02/2024;1;1;205;1;93.1;93.1;Cartão;E-commerce
79;03/02/2024;1;1;249;1;98.83;98.83;Dinheiro;E-commerce
80;27/02/2024;1;2;711;1;95.68;95.68;Cartão;Loja Física
81;11/02/2024;1;3;217;1;82.64;82.64;Cartão;Loja Física
82;16/02/2024;1;1;712;2;93.39;186.78;Cartão;E-commerce
83;09/03/2024;1;2;206;1;95.36;95.36;Boleto;Loja Física
84;21/03/2024;1;1;398;4;92.56;370.24;Pix;Telefone
85;12/03/2024;1;1;300;3;97.05;291.15;Boleto;Loja Física
86;13/03/2024;1;3;102;1;97.85;97.85;Cartão;E-commerce
87;03/03/2024;1;3;469;1;90.39;90.39;Pix;Loja Física
88;17/03/2024;1;2;403;1;94.38;94.38;Cartão;E-commerce
89;12/03/2024;1;1;514;2;84.2;168.4;Cartão;Loja Física
90;13/03/2024;1;1;569;3;98.83;296.49;Cartão;Loja Física
91;13/03/2024;1;1;748;2;86.51;173.02;Dinheiro;E-commerce
92;21/03/2024;1;2;247;2;90.66;181.32;Cartão;Loja Física
93;20/03/2024;1;3;135;1;82.7;82.7;Cartão;E-commerce
94;26/03/2024;1;1;317;1;93.17;93.17;Pix;Telefone
95;14/03/2024;1;1;672;5;98.48;492.4;Dinheiro;Loja Física
96;18/03/2024;1;3;122;1;82.21;82.21;Pix;Loja Física
97;01/03/2024;1;2;422;2;84.8;169.6;Pix;E-commerce
98;21/03/2024;1;2;156;4;95.14;380.56;Cartão;Loja Física
99;25/03/2024;1;3;274;5;91.37;456.85;Boleto;E-commerce
100;08/03/2024;1;2;82;2;93.16;186.32;Cartão;E-commerce
101;20/03/2024;1;3;383;1;82.21;82.21;Cartão;Loja Física
102;06/03/2024;1;1;419;1;94.82;94.82;Cartão;Loja Física
103;14/03/2024;1;3;208;1;94.67;94.67;Cartão;Telefone
104;15/03/2024;1;2;705;3;85.27;255.81;Cartão;Loja Física
105;13/03/2024;1;3;753;2;96.12;192.24;Pix;Loja Física
106;24/03/2024;1;3;538;1;92.14;92.14;Pix;Loja Física
107;04/03/2024;1;1;252;1;89.48;89.48;Cartão;E-commerce
108;18/03/2024;1;3;51;1;82.33;82.33;Cartão;E-commerce
109;25/03/2024;1;2;171;3;87.39;262.17;Boleto;Loja Física
110;17/03/2024;1;2;662;4;88.02;352.08;Pix;Loja Física
111;25/03/2024;1;3;560;1;81.15;81.15;Cartão;Loja Física
